Date, Close/Last, Volume, Open, High, Low
12/01/2020, $92.63, 58670530, $92.25, $93.9, $90.78
11/30/2020, $92.66, 84482980, $87.33, $92.74, $86.53
11/27/2020, $87.19, 22717640, $87.99, $88, $86.3598
11/25/2020, $86.71, 41349730, $85.76, $87.84, $85.52
11/24/2020, $85.07, 36839170, $85.724, $86.11, $83.32
11/23/2020, $85.31, 46504960, $85.52, $87.54, $84.615
11/20/2020, $84.64, 35008430, $85.28, $86.1, $84.47
11/19/2020, $85.54, 50116760, $82.39, $85.64, $81.72
11/18/2020, $82.54, 29967960, $83.014, $83.955, $82.22
11/17/2020, $83.36, 29473510, $83.93, $84.81, $82.91
11/16/2020, $83.73, 38640840, $81.21, $83.78, $80.48
11/13/2020, $81.43, 30448460, $82.73, $83.11, $80.7
11/12/2020, $81.84, 37303110, $81.32, $83, $80.3
11/11/2020, $81.28, 44611250, $79.39, $81.47, $78.97
11/10/2020, $77.99, 67137200, $81.93, $82.13, $77.63
11/09/2020, $83.12, 58580680, $84.24, $87.05, $82.77
11/06/2020, $85.88, 53829940, $83.52, $86.09, $82.67
11/05/2020, $83, 46542270, $83.27, $83.5, $81.85
11/04/2020, $81.35, 66579710, $80.25, $81.85, $78.975
11/03/2020, $76.58, 41231800, $74.93, $77.08, $74.6
11/02/2020, $74.7, 45760660, $75.85, $76.3398, $73.7573
10/30/2020, $75.29, 51426170, $77.09, $77.7, $74.23
10/29/2020, $78.02, 52784090, $76.75, $79.18, $76.29
10/28/2020, $76.4, 76529910, $78.73, $78.96, $75.76
10/27/2020, $78.88, 156669500, $82, $82.37, $77.57
10/26/2020, $82.23, 69423680, $82.55, $84.97, $80.86
10/23/2020, $81.96, 46557680, $80.93, $81.99, $79.33
10/22/2020, $79.42, 38006800, $79.65, $80.82, $78.42
10/21/2020, $79.2, 36426410, $81.72, $81.9299, $79.19
10/20/2020, $81.56, 38219420, $82.16, $82.69, $80.58
10/19/2020, $82, 36689110, $83.62, $84.65, $81.53
10/16/2020, $83.17, 31474290, $83.54, $83.99, $82.41
10/15/2020, $83.13, 33696410, $83.4, $84.7201, $82.42
10/14/2020, $84.21, 40446740, $85.86, $85.96, $83.46
10/13/2020, $85.28, 42764100, $84.86, $86.09, $83.9733
10/12/2020, $84.29, 47669700, $83.65, $85.13, $83.12
10/09/2020, $83.1, 80354390, $84.74, $85.75, $82.3465
10/08/2020, $86.51, 54240700, $88.11, $88.72, $85.95
10/07/2020, $86.69, 43045720, $86.1, $87.79, $85.65
10/06/2020, $84.48, 52725430, $86.21, $87.25, $83.54
10/05/2020, $86.15, 47056520, $82.55, $86.2819, $82.55
10/02/2020, $81.8, 52855050, $82.58, $84.65, $81.66
