,date,banking_crisis|france,banking_crisis|germany,banking_crisis|spain,banking_crisis|united_states,currency_crisis|france,currency_crisis|germany,currency_crisis|spain,currency_crisis|united_states,independence|france,independence|germany,independence|spain,independence|united_states,inflation_crisis|france,inflation_crisis|germany,inflation_crisis|spain,inflation_crisis|united_states,systemic_crisis|france,systemic_crisis|germany,systemic_crisis|spain,systemic_crisis|united_states
0,1801-01,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,1801-02,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2,1801-03,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
3,1801-04,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4,1801-05,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5,1801-06,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
6,1801-07,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7,1801-08,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
8,1801-09,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
9,1801-10,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
10,1801-11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
11,1801-12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,1802-01,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1,1802-02,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
2,1802-03,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
3,1802-04,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
4,1802-05,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
5,1802-06,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
6,1802-07,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
7,1802-08,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
8,1802-09,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
9,1802-10,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
10,1802-11,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
11,1802-12,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
0,1803-01,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
1,1803-02,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
2,1803-03,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
3,1803-04,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
4,1803-05,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
5,1803-06,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
6,1803-07,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
7,1803-08,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
8,1803-09,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
9,1803-10,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
10,1803-11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
11,1803-12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
0,1804-01,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,1804-02,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2,1804-03,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
3,1804-04,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4,1804-05,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5,1804-06,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
6,1804-07,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7,1804-08,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
8,1804-09,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
9,1804-10,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
10,1804-11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
11,1804-12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,1805-01,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1,1805-02,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
2,1805-03,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
3,1805-04,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
4,1805-05,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
5,1805-06,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
6,1805-07,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
7,1805-08,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
8,1805-09,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
9,1805-10,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
10,1805-11,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
11,1805-12,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
0,1806-01,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
1,1806-02,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
2,1806-03,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
3,1806-04,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
4,1806-05,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
5,1806-06,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
6,1806-07,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
7,1806-08,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
8,1806-09,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
9,1806-10,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
10,1806-11,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
11,1806-12,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0
0,1807-01,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,1807-02,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2,1807-03,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
3,1807-04,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4,1807-05,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5,1807-06,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
6,1807-07,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7,1807-08,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
8,1807-09,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
9,1807-10,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
10,1807-11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
11,1807-12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,1808-01,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,1808-02,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2,1808-03,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
3,1808-04,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4,1808-05,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5,1808-06,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
6,1808-07,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7,1808-08,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
8,1808-09,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
9,1808-10,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
10,1808-11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
11,1808-12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,1809-01,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,1809-02,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2,1809-03,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
3,1809-04,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4,1809-05,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5,1809-06,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
6,1809-07,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
7,1809-08,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
8,1809-09,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
9,1809-10,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
