,Date,Mercury,Venus,Mars,Jupiter,Saturn,Uranium,Neptune,Pluto,Knot,Lilith,Chiron
0,1800-01,1,0,0,1,1,1,0,0,1,0,0
1,1800-02,0,0,0,1,0,0,1,0,0,0,0
2,1800-03,0,0,0,0,0,0,0,0,0,0,1
3,1800-04,1,0,0,0,1,0,0,0,0,0,0
4,1800-05,1,0,0,0,0,1,0,0,0,0,0
5,1800-06,0,0,0,0,0,0,0,1,0,0,0
6,1800-07,0,0,0,0,0,0,1,0,0,0,1
7,1800-08,1,0,0,0,0,0,0,0,0,0,0
8,1800-09,1,0,0,0,0,0,0,0,0,0,0
9,1800-10,0,0,1,0,0,0,0,0,0,0,0
10,1800-11,0,0,0,1,0,0,0,1,0,0,0
11,1800-12,1,0,1,0,1,0,0,0,0,0,0
12,1801-01,0,0,0,1,1,1,0,0,1,0,0
13,1801-02,0,0,0,0,0,0,1,0,0,0,0
14,1801-03,1,0,0,1,0,0,0,0,0,0,1
15,1801-04,1,0,0,0,1,0,0,0,0,0,0
16,1801-05,0,1,0,0,0,0,0,0,0,0,0
17,1801-06,0,1,0,0,0,1,0,1,0,0,0
18,1801-07,1,0,0,0,0,0,1,0,0,0,0
19,1801-08,1,0,0,0,0,0,0,0,0,0,1
20,1801-09,0,0,0,0,0,0,0,0,0,0,0
21,1801-10,0,0,0,0,0,0,0,0,0,0,0
22,1801-11,1,0,0,0,0,0,0,1,0,0,0
23,1801-12,1,0,0,1,1,0,0,0,0,0,0
24,1802-01,0,0,0,1,1,1,0,0,1,0,0
25,1802-02,0,0,0,0,0,0,1,0,0,0,0
26,1802-03,1,0,0,0,0,0,0,0,0,0,0
27,1802-04,0,0,0,1,0,0,0,0,0,0,1
28,1802-05,0,0,0,0,1,0,0,0,0,0,0
29,1802-06,0,0,0,0,0,1,0,1,0,0,0
30,1802-07,1,0,0,0,0,0,1,0,0,0,0
31,1802-08,0,0,0,0,0,0,0,0,0,0,1
32,1802-09,0,0,0,0,0,0,0,0,0,0,0
33,1802-10,1,0,0,0,0,0,0,0,0,0,0
34,1802-11,1,0,1,0,0,0,0,1,0,0,0
35,1802-12,0,1,0,0,1,0,0,0,0,0,0
36,1803-01,0,1,1,1,1,1,0,0,1,0,0
37,1803-02,1,0,0,0,0,0,1,0,0,0,0
38,1803-03,1,0,0,0,0,0,0,0,0,0,0
39,1803-04,0,0,0,0,0,0,0,0,0,0,1
40,1803-05,0,0,0,1,1,0,0,0,0,0,0
41,1803-06,1,0,0,0,0,1,0,1,0,0,0
42,1803-07,1,0,0,0,0,0,0,0,0,0,0
43,1803-08,0,0,0,0,0,0,1,0,0,0,1
44,1803-09,0,0,0,0,0,0,0,0,0,0,0
45,1803-10,1,0,0,0,0,0,0,0,0,0,0
46,1803-11,1,0,0,0,0,0,0,1,0,0,0
47,1803-12,0,0,0,0,0,0,0,0,0,0,0
48,1804-01,1,0,0,0,1,1,0,0,1,0,0
49,1804-02,1,0,0,1,0,0,1,0,0,0,0
50,1804-03,0,0,0,0,0,0,0,0,0,0,0
51,1804-04,0,0,0,0,0,0,0,0,0,0,1
52,1804-05,1,0,0,0,1,0,0,0,0,0,0
53,1804-06,1,0,0,1,0,1,0,1,0,0,0
54,1804-07,0,1,0,0,0,0,0,0,0,0,0
55,1804-08,0,1,0,0,0,0,1,0,0,0,0
56,1804-09,1,0,0,0,0,0,0,0,0,0,1
57,1804-10,1,0,0,0,0,0,0,0,0,0,0
58,1804-11,0,0,0,0,0,0,0,1,0,0,0
59,1804-12,0,0,1,0,0,0,0,0,0,0,0
60,1805-01,1,0,1,0,1,1,0,0,1,0,0
61,1805-02,1,0,0,0,0,0,1,0,0,0,0
62,1805-03,0,0,1,1,0,0,0,0,0,0,0
63,1805-04,0,0,0,0,0,0,0,0,0,0,1
64,1805-05,1,0,0,0,0,0,0,0,0,0,0
65,1805-06,1,0,0,0,1,1,0,1,0,0,0
66,1805-07,0,0,0,1,0,0,0,0,0,0,0
67,1805-08,0,0,0,0,0,0,1,0,0,0,0
68,1805-09,1,0,0,0,0,0,0,0,0,0,1
69,1805-10,0,0,0,0,0,0,0,0,0,0,0
70,1805-11,0,0,0,0,0,0,0,1,0,0,0
71,1805-12,1,0,0,0,0,0,0,0,0,0,0
72,1806-01,1,0,0,0,0,1,0,0,1,0,0
73,1806-02,0,1,0,0,1,0,0,0,0,0,0
74,1806-03,0,0,0,0,0,0,1,0,0,0,0
75,1806-04,1,1,0,1,0,0,0,0,0,0,0
76,1806-05,1,0,0,0,0,0,0,0,0,0,1
77,1806-06,0,0,0,0,1,1,0,1,0,0,0
78,1806-07,0,0,0,0,0,0,0,0,0,0,0
79,1806-08,1,0,0,1,0,0,1,0,0,0,0
80,1806-09,1,0,0,0,0,0,0,0,0,0,1
81,1806-10,0,0,0,0,0,0,0,0,0,0,0
82,1806-11,0,0,0,0,0,0,0,1,0,0,0
83,1806-12,1,0,0,0,0,0,0,0,0,0,0
84,1807-01,0,0,1,0,0,0,0,0,1,0,0
85,1807-02,0,0,0,0,1,1,0,0,0,0,0
86,1807-03,1,0,0,0,0,0,1,0,0,0,0
87,1807-04,1,0,1,0,0,0,0,0,0,0,0
