,date,full_moon,new_moon
0,1820-01,2,2
1,1820-02,2,2
2,1820-03,2,2
3,1820-04,2,2
4,1820-05,2,2
5,1820-06,2,2
6,1820-07,2,2
7,1820-08,2,2
8,1820-09,2,2
9,1820-10,2,2
10,1820-11,2,2
11,1820-12,2,2
12,1821-01,4,4
13,1821-02,2,2
14,1821-03,2,2
15,1821-04,2,2
16,1821-05,3,3
17,1821-06,2,2
18,1821-07,2,2
19,1821-08,2,2
20,1821-09,2,2
21,1821-10,2,2
22,1821-11,2,2
23,1821-12,2,2
24,1822-01,4,4
25,1822-02,2,2
26,1822-03,2,2
27,1822-04,2,2
28,1822-05,2,2
29,1822-06,2,2
30,1822-07,2,2
31,1822-08,2,2
32,1822-09,3,3
33,1822-10,2,2
34,1822-11,2,2
35,1822-12,2,2
36,1823-01,4,4
37,1823-02,2,2
38,1823-03,2,2
39,1823-04,2,2
40,1823-05,2,2
41,1823-06,2,2
42,1823-07,2,2
43,1823-08,2,2
44,1823-09,2,2
45,1823-10,2,2
46,1823-11,2,2
47,1823-12,2,2
48,1824-01,5,5
49,1824-02,2,2
50,1824-03,2,2
51,1824-04,2,2
52,1824-05,2,2
53,1824-06,2,2
54,1824-07,2,2
55,1824-08,2,2
56,1824-09,2,2
57,1824-10,2,2
58,1824-11,2,2
59,1824-12,2,2
60,1825-01,4,4
61,1825-02,2,2
62,1825-03,2,2
63,1825-04,2,2
64,1825-05,3,3
65,1825-06,2,2
66,1825-07,2,2
67,1825-08,2,2
68,1825-09,2,2
69,1825-10,2,2
70,1825-11,2,2
71,1825-12,2,2
72,1826-01,4,4
73,1826-02,2,2
74,1826-03,2,2
75,1826-04,2,2
76,1826-05,2,2
77,1826-06,2,2
78,1826-07,2,2
79,1826-08,2,2
80,1826-09,2,2
81,1826-10,3,3
82,1826-11,2,2
83,1826-12,2,2
84,1827-01,4,4
85,1827-02,2,2
86,1827-03,2,2
87,1827-04,2,2
88,1827-05,2,2
89,1827-06,2,2
90,1827-07,2,2
91,1827-08,2,2
92,1827-09,2,2
93,1827-10,2,2
94,1827-11,2,2
95,1827-12,2,2
96,1828-01,4,4
97,1828-02,2,2
98,1828-03,3,3
99,1828-04,2,2
100,1828-05,2,2
101,1828-06,2,2
102,1828-07,2,2
103,1828-08,2,2
104,1828-09,2,2
105,1828-10,2,2
106,1828-11,2,2
107,1828-12,2,2
108,1829-01,4,4
109,1829-02,2,2
110,1829-03,2,2
111,1829-04,2,2
112,1829-05,2,2
113,1829-06,2,2
114,1829-07,3,3
115,1829-08,2,2
116,1829-09,2,2
117,1829-10,2,2
118,1829-11,2,2
119,1829-12,2,2
120,1830-01,4,4
121,1830-02,2,2
122,1830-03,2,2
123,1830-04,2,2
124,1830-05,2,2
125,1830-06,2,2
126,1830-07,2,2
127,1830-08,2,2
128,1830-09,2,2
129,1830-10,3,3
130,1830-11,2,2
131,1830-12,2,2
132,1831-01,4,4
133,1831-02,2,2
134,1831-03,2,2
135,1831-04,2,2
136,1831-05,2,2
137,1831-06,2,2
138,1831-07,2,2
139,1831-08,2,2
140,1831-09,2,2
141,1831-10,2,2
142,1831-11,2,2
143,1831-12,2,2
144,1832-01,4,4
145,1832-02,2,2
146,1832-03,2,2
147,1832-04,3,3
148,1832-05,2,2
149,1832-06,2,2
150,1832-07,2,2
151,1832-08,2,2
152,1832-09,2,2
153,1832-10,2,2
154,1832-11,2,2
155,1832-12,2,2
156,1833-01,4,4
157,1833-02,2,2
158,1833-03,2,2
159,1833-04,2,2
160,1833-05,2,2
161,1833-06,2,2
162,1833-07,3,3
163,1833-08,2,2
164,1833-09,2,2
165,1833-10,2,2
166,1833-11,2,2
167,1833-12,2,2
168,1834-01,4,4
169,1834-02,2,2
170,1834-03,2,2
171,1834-04,2,2
172,1834-05,2,2
173,1834-06,2,2
174,1834-07,2,2
175,1834-08,2,2
176,1834-09,2,2
177,1834-10,2,2
178,1834-11,3,3
179,1834-12,2,2
180,1835-01,4,4
181,1835-02,2,2
182,1835-03,2,2
183,1835-04,2,2
184,1835-05,2,2
185,1835-06,2,2
186,1835-07,2,2
187,1835-08,2,2
188,1835-09,2,2
189,1835-10,2,2
190,1835-11,2,2
191,1835-12,2,2
192,1836-01,4,4
193,1836-02,2,2
194,1836-03,2,2
195,1836-04,2,2
196,1836-05,3,3
197,1836-06,2,2
198,1836-07,2,2
199,1836-08,2,2
200,1836-09,2,2
201,1836-10,2,2
202,1836-11,2,2
203,1836-12,2,2
204,1837-01,4,4
205,1837-02,2,2
206,1837-03,2,2
207,1837-04,2,2
208,1837-05,2,2
209,1837-06,2,2
210,1837-07,2,2
211,1837-08,3,3
212,1837-09,2,2
213,1837-10,2,2
214,1837-11,2,2
215,1837-12,2,2
216,1838-01,4,4
217,1838-02,2,2
218,1838-03,2,2
219,1838-04,2,2
220,1838-05,2,2
