,date,homicide_rate|france,homicide_rate|germany,homicide_rate|spain,homicide_rate|united states
0,1915-01,1.5,2.1,4.5,5.9
1,1915-02,1.5,2.1,4.5,5.9
2,1915-03,1.5,2.1,4.5,5.9
3,1915-04,1.5,2.1,4.5,5.9
4,1915-05,1.5,2.1,4.5,5.9
5,1915-06,1.5,2.1,4.5,5.9
6,1915-07,1.5,2.1,4.5,5.9
7,1915-08,1.5,2.1,4.5,5.9
8,1915-09,1.5,2.1,4.5,5.9
9,1915-10,1.5,2.1,4.5,5.9
10,1915-11,1.5,2.1,4.5,5.9
11,1915-12,1.5,2.1,4.5,5.9
12,1916-01,1.5,2.1,4.5,6.3
13,1916-02,1.5,2.1,4.5,6.3
14,1916-03,1.5,2.1,4.5,6.3
15,1916-04,1.5,2.1,4.5,6.3
16,1916-05,1.5,2.1,4.5,6.3
17,1916-06,1.5,2.1,4.5,6.3
18,1916-07,1.5,2.1,4.5,6.3
19,1916-08,1.5,2.1,4.5,6.3
20,1916-09,1.5,2.1,4.5,6.3
21,1916-10,1.5,2.1,4.5,6.3
22,1916-11,1.5,2.1,4.5,6.3
23,1916-12,1.5,2.1,4.5,6.3
24,1917-01,1.5,2.1,4.5,6.9
25,1917-02,1.5,2.1,4.5,6.9
26,1917-03,1.5,2.1,4.5,6.9
27,1917-04,1.5,2.1,4.5,6.9
28,1917-05,1.5,2.1,4.5,6.9
29,1917-06,1.5,2.1,4.5,6.9
30,1917-07,1.5,2.1,4.5,6.9
31,1917-08,1.5,2.1,4.5,6.9
32,1917-09,1.5,2.1,4.5,6.9
33,1917-10,1.5,2.1,4.5,6.9
34,1917-11,1.5,2.1,4.5,6.9
35,1917-12,1.5,2.1,4.5,6.9
36,1918-01,1.5,2.1,4.5,6.5
37,1918-02,1.5,2.1,4.5,6.5
38,1918-03,1.5,2.1,4.5,6.5
39,1918-04,1.5,2.1,4.5,6.5
40,1918-05,1.5,2.1,4.5,6.5
41,1918-06,1.5,2.1,4.5,6.5
42,1918-07,1.5,2.1,4.5,6.5
43,1918-08,1.5,2.1,4.5,6.5
44,1918-09,1.5,2.1,4.5,6.5
45,1918-10,1.5,2.1,4.5,6.5
46,1918-11,1.5,2.1,4.5,6.5
47,1918-12,1.5,2.1,4.5,6.5
48,1919-01,1.5,2.1,4.5,7.2
49,1919-02,1.5,2.1,4.5,7.2
50,1919-03,1.5,2.1,4.5,7.2
51,1919-04,1.5,2.1,4.5,7.2
52,1919-05,1.5,2.1,4.5,7.2
53,1919-06,1.5,2.1,4.5,7.2
54,1919-07,1.5,2.1,4.5,7.2
55,1919-08,1.5,2.1,4.5,7.2
56,1919-09,1.5,2.1,4.5,7.2
57,1919-10,1.5,2.1,4.5,7.2
58,1919-11,1.5,2.1,4.5,7.2
59,1919-12,1.5,2.1,4.5,7.2
60,1920-01,1.5,2.1,4.5,6.8
61,1920-02,1.5,2.1,4.5,6.8
62,1920-03,1.5,2.1,4.5,6.8
63,1920-04,1.5,2.1,4.5,6.8
64,1920-05,1.5,2.1,4.5,6.8
65,1920-06,1.5,2.1,4.5,6.8
66,1920-07,1.5,2.1,4.5,6.8
67,1920-08,1.5,2.1,4.5,6.8
68,1920-09,1.5,2.1,4.5,6.8
69,1920-10,1.5,2.1,4.5,6.8
70,1920-11,1.5,2.1,4.5,6.8
71,1920-12,1.5,2.1,4.5,6.8
72,1921-01,1.5,2.1,4.5,8.1
73,1921-02,1.5,2.1,4.5,8.1
74,1921-03,1.5,2.1,4.5,8.1
75,1921-04,1.5,2.1,4.5,8.1
76,1921-05,1.5,2.1,4.5,8.1
77,1921-06,1.5,2.1,4.5,8.1
78,1921-07,1.5,2.1,4.5,8.1
79,1921-08,1.5,2.1,4.5,8.1
80,1921-09,1.5,2.1,4.5,8.1
81,1921-10,1.5,2.1,4.5,8.1
82,1921-11,1.5,2.1,4.5,8.1
83,1921-12,1.5,2.1,4.5,8.1
84,1922-01,1.5,2.1,4.5,8.0
85,1922-02,1.5,2.1,4.5,8.0
86,1922-03,1.5,2.1,4.5,8.0
87,1922-04,1.5,2.1,4.5,8.0
88,1922-05,1.5,2.1,4.5,8.0
89,1922-06,1.5,2.1,4.5,8.0
90,1922-07,1.5,2.1,4.5,8.0
91,1922-08,1.5,2.1,4.5,8.0
92,1922-09,1.5,2.1,4.5,8.0
93,1922-10,1.5,2.1,4.5,8.0
94,1922-11,1.5,2.1,4.5,8.0
95,1922-12,1.5,2.1,4.5,8.0
96,1923-01,1.5,2.1,4.5,7.8
97,1923-02,1.5,2.1,4.5,7.8
98,1923-03,1.5,2.1,4.5,7.8
99,1923-04,1.5,2.1,4.5,7.8
100,1923-05,1.5,2.1,4.5,7.8
101,1923-06,1.5,2.1,4.5,7.8
102,1923-07,1.5,2.1,4.5,7.8
103,1923-08,1.5,2.1,4.5,7.8
104,1923-09,1.5,2.1,4.5,7.8
105,1923-10,1.5,2.1,4.5,7.8
106,1923-11,1.5,2.1,4.5,7.8
107,1923-12,1.5,2.1,4.5,7.8
108,1924-01,1.5,2.1,4.5,8.1
109,1924-02,1.5,2.1,4.5,8.1
110,1924-03,1.5,2.1,4.5,8.1
111,1924-04,1.5,2.1,4.5,8.1
112,1924-05,1.5,2.1,4.5,8.1
113,1924-06,1.5,2.1,4.5,8.1
114,1924-07,1.5,2.1,4.5,8.1
115,1924-08,1.5,2.1,4.5,8.1
116,1924-09,1.5,2.1,4.5,8.1
117,1924-10,1.5,2.1,4.5,8.1
118,1924-11,1.5,2.1,4.5,8.1
119,1924-12,1.5,2.1,4.5,8.1
120,1925-01,1.5,1.8,1.4,8.3
121,1925-02,1.5,1.8,1.4,8.3
122,1925-03,1.5,1.8,1.4,8.3
123,1925-04,1.5,1.8,1.4,8.3
124,1925-05,1.5,1.8,1.4,8.3
125,1925-06,1.5,1.8,1.4,8.3
126,1925-07,1.5,1.8,1.4,8.3
127,1925-08,1.5,1.8,1.4,8.3
128,1925-09,1.5,1.8,1.4,8.3
129,1925-10,1.5,1.8,1.4,8.3
130,1925-11,1.5,1.8,1.4,8.3
131,1925-12,1.5,1.8,1.4,8.3
132,1926-01,1.1,1.8,1.4,8.4
133,1926-02,1.1,1.8,1.4,8.4
134,1926-03,1.1,1.8,1.4,8.4
135,1926-04,1.1,1.8,1.4,8.4
136,1926-05,1.1,1.8,1.4,8.4
137,1926-06,1.1,1.8,1.4,8.4
138,1926-07,1.1,1.8,1.4,8.4
139,1926-08,1.1,1.8,1.4,8.4
140,1926-09,1.1,1.8,1.4,8.4
141,1926-10,1.1,1.8,1.4,8.4
142,1926-11,1.1,1.8,1.4,8.4
