,date,eclipse_type
0,1921-04,1
1,1921-10,2
2,1922-03,1
3,1922-09,2
4,1923-03,1
5,1923-09,2
6,1925-01,2
7,1925-07,1
8,1926-01,2
9,1926-07,1
10,1927-01,1
11,1927-06,2
12,1928-05,2
13,1929-05,2
14,1929-11,1
15,1930-04,3
16,1930-10,2
17,1932-03,1
18,1932-08,2
19,1933-02,1
20,1933-08,1
21,1934-02,2
22,1934-08,1
23,1935-12,1
24,1936-06,2
25,1936-12,1
26,1937-06,2
27,1937-12,1
28,1938-05,2
29,1939-04,1
30,1939-10,2
31,1940-04,1
32,1940-10,2
33,1941-03,1
34,1941-09,2
35,1943-02,2
36,1943-08,1
37,1944-01,2
38,1944-07,1
39,1945-01,1
40,1945-07,2
41,1947-05,2
42,1947-11,1
43,1948-05,1
44,1948-11,2
45,1950-03,1
46,1950-09,2
47,1951-03,1
48,1951-09,1
49,1952-02,2
50,1952-08,1
51,1954-01,1
52,1954-06,2
53,1954-12,1
54,1955-06,2
55,1955-12,1
56,1956-06,2
57,1957-04,1
58,1957-10,2
59,1958-04,1
60,1958-10,2
61,1959-04,1
62,1959-10,2
63,1961-02,2
64,1961-08,1
65,1962-02,2
66,1962-07,1
67,1963-01,1
68,1963-07,2
69,1965-05,2
70,1965-11,1
71,1966-05,1
72,1966-11,2
73,1967-11,2
74,1968-09,2
75,1969-03,1
76,1969-09,1
77,1970-03,2
78,1970-08,1
79,1972-01,1
80,1972-07,2
81,1973-01,1
82,1973-06,2
83,1973-12,1
84,1974-06,2
85,1976-04,1
86,1976-10,2
87,1977-04,1
88,1977-10,2
89,1979-02,2
90,1979-08,1
91,1980-02,2
92,1980-08,1
93,1981-02,1
94,1981-07,2
95,1983-06,2
96,1983-12,1
97,1984-05,1
98,1984-11,2
99,1985-11,2
100,1986-10,3
101,1987-03,3
102,1987-09,1
103,1988-03,2
104,1988-09,1
105,1990-01,1
106,1990-07,2
107,1991-01,1
108,1991-07,2
109,1992-01,1
110,1992-06,2
111,1994-05,1
112,1994-11,2
113,1995-04,1
114,1995-10,2
115,1997-03,2
116,1998-02,2
117,1998-08,1
118,1999-02,1
119,1999-08,2
120,2001-06,2
121,2001-12,1
122,2002-06,1
123,2002-12,2
124,2003-05,1
125,2003-11,2
126,2005-04,3
127,2005-10,1
128,2006-03,2
129,2006-09,1
130,2008-02,1
131,2008-08,2
132,2009-01,1
133,2009-07,2
134,2010-01,1
135,2010-07,2
136,2012-05,1
137,2012-11,2
138,2013-05,1
139,2013-11,3
140,2014-04,1
141,2015-03,2
142,2016-03,2
143,2016-09,1
144,2017-02,1
145,2017-08,2
146,2019-07,2
147,2019-12,1
148,2020-06,1
149,2020-12,2
