,solar_cycle,date
0,Solar cycle 1,1755-02
1,Solar cycle 1,1755-03
2,Solar cycle 1,1755-04
3,Solar cycle 1,1755-05
4,Solar cycle 1,1755-06
5,Solar cycle 1,1755-07
6,Solar cycle 1,1755-08
7,Solar cycle 1,1755-09
8,Solar cycle 1,1755-10
9,Solar cycle 1,1755-11
10,Solar cycle 1,1755-12
11,Solar cycle 1,1756-01
12,Solar cycle 1,1756-02
13,Solar cycle 1,1756-03
14,Solar cycle 1,1756-04
15,Solar cycle 1,1756-05
16,Solar cycle 1,1756-06
17,Solar cycle 1,1756-07
18,Solar cycle 1,1756-08
19,Solar cycle 1,1756-09
20,Solar cycle 1,1756-10
21,Solar cycle 1,1756-11
22,Solar cycle 1,1756-12
23,Solar cycle 1,1757-01
24,Solar cycle 1,1757-02
25,Solar cycle 1,1757-03
26,Solar cycle 1,1757-04
27,Solar cycle 1,1757-05
28,Solar cycle 1,1757-06
29,Solar cycle 1,1757-07
30,Solar cycle 1,1757-08
31,Solar cycle 1,1757-09
32,Solar cycle 1,1757-10
33,Solar cycle 1,1757-11
34,Solar cycle 1,1757-12
35,Solar cycle 1,1758-01
36,Solar cycle 1,1758-02
37,Solar cycle 1,1758-03
38,Solar cycle 1,1758-04
39,Solar cycle 1,1758-05
40,Solar cycle 1,1758-06
41,Solar cycle 1,1758-07
42,Solar cycle 1,1758-08
43,Solar cycle 1,1758-09
44,Solar cycle 1,1758-10
45,Solar cycle 1,1758-11
46,Solar cycle 1,1758-12
47,Solar cycle 1,1759-01
48,Solar cycle 1,1759-02
49,Solar cycle 1,1759-03
50,Solar cycle 1,1759-04
51,Solar cycle 1,1759-05
52,Solar cycle 1,1759-06
53,Solar cycle 1,1759-07
54,Solar cycle 1,1759-08
55,Solar cycle 1,1759-09
56,Solar cycle 1,1759-10
57,Solar cycle 1,1759-11
58,Solar cycle 1,1759-12
59,Solar cycle 1,1760-01
60,Solar cycle 1,1760-02
61,Solar cycle 1,1760-03
62,Solar cycle 1,1760-04
63,Solar cycle 1,1760-05
64,Solar cycle 1,1760-06
65,Solar cycle 1,1760-07
66,Solar cycle 1,1760-08
67,Solar cycle 1,1760-09
68,Solar cycle 1,1760-10
69,Solar cycle 1,1760-11
70,Solar cycle 1,1760-12
71,Solar cycle 1,1761-01
72,Solar cycle 1,1761-02
73,Solar cycle 1,1761-03
74,Solar cycle 1,1761-04
75,Solar cycle 1,1761-05
76,Solar cycle 1,1761-06
0,Solar cycle 2,1766-06
1,Solar cycle 2,1766-07
2,Solar cycle 2,1766-08
3,Solar cycle 2,1766-09
4,Solar cycle 2,1766-10
5,Solar cycle 2,1766-11
6,Solar cycle 2,1766-12
7,Solar cycle 2,1767-01
8,Solar cycle 2,1767-02
9,Solar cycle 2,1767-03
10,Solar cycle 2,1767-04
11,Solar cycle 2,1767-05
12,Solar cycle 2,1767-06
13,Solar cycle 2,1767-07
14,Solar cycle 2,1767-08
15,Solar cycle 2,1767-09
16,Solar cycle 2,1767-10
17,Solar cycle 2,1767-11
18,Solar cycle 2,1767-12
19,Solar cycle 2,1768-01
20,Solar cycle 2,1768-02
21,Solar cycle 2,1768-03
22,Solar cycle 2,1768-04
23,Solar cycle 2,1768-05
24,Solar cycle 2,1768-06
25,Solar cycle 2,1768-07
26,Solar cycle 2,1768-08
27,Solar cycle 2,1768-09
28,Solar cycle 2,1768-10
29,Solar cycle 2,1768-11
30,Solar cycle 2,1768-12
31,Solar cycle 2,1769-01
32,Solar cycle 2,1769-02
33,Solar cycle 2,1769-03
34,Solar cycle 2,1769-04
35,Solar cycle 2,1769-05
36,Solar cycle 2,1769-06
37,Solar cycle 2,1769-07
38,Solar cycle 2,1769-08
39,Solar cycle 2,1769-09
0,Solar cycle 3,1775-06
1,Solar cycle 3,1775-07
2,Solar cycle 3,1775-08
3,Solar cycle 3,1775-09
4,Solar cycle 3,1775-10
5,Solar cycle 3,1775-11
6,Solar cycle 3,1775-12
7,Solar cycle 3,1776-01
8,Solar cycle 3,1776-02
9,Solar cycle 3,1776-03
10,Solar cycle 3,1776-04
11,Solar cycle 3,1776-05
12,Solar cycle 3,1776-06
13,Solar cycle 3,1776-07
14,Solar cycle 3,1776-08
15,Solar cycle 3,1776-09
16,Solar cycle 3,1776-10
17,Solar cycle 3,1776-11
18,Solar cycle 3,1776-12
19,Solar cycle 3,1777-01
20,Solar cycle 3,1777-02
21,Solar cycle 3,1777-03
22,Solar cycle 3,1777-04
23,Solar cycle 3,1777-05
24,Solar cycle 3,1777-06
25,Solar cycle 3,1777-07
26,Solar cycle 3,1777-08
27,Solar cycle 3,1777-09
28,Solar cycle 3,1777-10
29,Solar cycle 3,1777-11
30,Solar cycle 3,1777-12
31,Solar cycle 3,1778-01
32,Solar cycle 3,1778-02
33,Solar cycle 3,1778-03
34,Solar cycle 3,1778-04
35,Solar cycle 3,1778-05
0,Solar cycle 4,1784-09
1,Solar cycle 4,1784-10
2,Solar cycle 4,1784-11
3,Solar cycle 4,1784-12
4,Solar cycle 4,1785-01
5,Solar cycle 4,1785-02
6,Solar cycle 4,1785-03
7,Solar cycle 4,1785-04
8,Solar cycle 4,1785-05
9,Solar cycle 4,1785-06
10,Solar cycle 4,1785-07
11,Solar cycle 4,1785-08
12,Solar cycle 4,1785-09
13,Solar cycle 4,1785-10
14,Solar cycle 4,1785-11
15,Solar cycle 4,1785-12
16,Solar cycle 4,1786-01
17,Solar cycle 4,1786-02
18,Solar cycle 4,1786-03
19,Solar cycle 4,1786-04
20,Solar cycle 4,1786-05
21,Solar cycle 4,1786-06
22,Solar cycle 4,1786-07
23,Solar cycle 4,1786-08
24,Solar cycle 4,1786-09
25,Solar cycle 4,1786-10
26,Solar cycle 4,1786-11
27,Solar cycle 4,1786-12
28,Solar cycle 4,1787-01
29,Solar cycle 4,1787-02
30,Solar cycle 4,1787-03
31,Solar cycle 4,1787-04
32,Solar cycle 4,1787-05
33,Solar cycle 4,1787-06
34,Solar cycle 4,1787-07
35,Solar cycle 4,1787-08
36,Solar cycle 4,1787-09
37,Solar cycle 4,1787-10
38,Solar cycle 4,1787-11
39,Solar cycle 4,1787-12
40,Solar cycle 4,1788-01
41,Solar cycle 4,1788-02
0,Solar cycle 5,1798-04
1,Solar cycle 5,1798-05
2,Solar cycle 5,1798-06
3,Solar cycle 5,1798-07
4,Solar cycle 5,1798-08
5,Solar cycle 5,1798-09
6,Solar cycle 5,1798-10
7,Solar cycle 5,1798-11
8,Solar cycle 5,1798-12
9,Solar cycle 5,1799-01
10,Solar cycle 5,1799-02
11,Solar cycle 5,1799-03
12,Solar cycle 5,1799-04
13,Solar cycle 5,1799-05
14,Solar cycle 5,1799-06
15,Solar cycle 5,1799-07
16,Solar cycle 5,1799-08
17,Solar cycle 5,1799-09
18,Solar cycle 5,1799-10
19,Solar cycle 5,1799-11
20,Solar cycle 5,1799-12
21,Solar cycle 5,1800-01
22,Solar cycle 5,1800-02
23,Solar cycle 5,1800-03
24,Solar cycle 5,1800-04
25,Solar cycle 5,1800-05
26,Solar cycle 5,1800-06
27,Solar cycle 5,1800-07
28,Solar cycle 5,1800-08
29,Solar cycle 5,1800-09
